0,86
1,90
2,86
3,90
4,86
5,86
6,83
7,83
8,80
9,83
10,80
11,83
12,80
13,76
14,73
15,66
16,73
17,76
18,73
19,63
20,60
21,53
22,63
23,50
24,43
25,36
26,40
27,50
28,46
29,36
30,30
31,23
32,23
33,16
34,10
35,16
36,20
37,13
38,16
39,10
40,3
41,3
42,3
43,6
44,3
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
